pandaid,IObytesRead,wall_time,cpuconsumptiontime,computingsite
3949326261,305616,346,110,DESY-HH_UCORE
3949304944,466752,293,85,DESY-HH_UCORE
3949304951,404652,453,109,DESY-HH_UCORE
3949304956,382976,381,101,DESY-HH_UCORE
3949304974,448336,707,89,DESY-HH_UCORE
3949304980,301032,253,76,DESY-HH_UCORE
3949304981,451928,337,96,DESY-HH_UCORE
3949304987,449252,297,100,DESY-HH_UCORE
3949304993,337164,386,109,DESY-HH_UCORE
3949304996,441916,391,106,DESY-HH_UCORE
3949305000,303132,263,81,DESY-HH_UCORE
3949305018,268148,391,72,BNL_PROD
3949305020,346988,385,66,BNL_PROD
3949305021,313400,567,84,BNL_PROD
3949305024,303340,325,70,BNL_PROD
3949305030,284844,453,65,BNL_PROD
3949305049,254504,255,81,DESY-HH_UCORE
3949305056,427660,322,100,DESY-HH_UCORE
3949305059,386400,389,101,DESY-HH_UCORE
3949372600,308096,365,64,BNL_PROD
3949372610,358208,377,65,BNL_PROD
3949315100,452224,349,100,DESY-HH_UCORE
3949315104,418720,356,101,DESY-HH_UCORE
3949315107,367496,396,100,DESY-HH_UCORE
3949315116,301504,334,98,DESY-HH_UCORE
3949315117,452776,381,100,DESY-HH_UCORE
3949315125,276920,402,109,DESY-HH_UCORE
3949315129,413820,470,103,DESY-HH_UCORE
3949315136,303216,217,76,DESY-HH_UCORE
3949315138,383536,369,99,DESY-HH_UCORE
3949315139,385008,367,103,DESY-HH_UCORE
3949315142,450108,316,95,DESY-HH_UCORE
3949315149,269332,453,73,BNL_PROD
3949315152,413284,448,67,BNL_PROD
3949315157,334580,645,54,BNL_PROD
3949315158,271712,298,70,BNL_PROD
3949315178,406540,468,63,BNL_PROD
3949315182,280292,469,74,BNL_PROD
3949288421,353132,317,99,DESY-HH_UCORE
3949904586,475480,345,86,DESY-HH_UCORE
3949904587,294308,272,81,DESY-HH_UCORE
3949904593,294308,318,83,DESY-HH_UCORE
3949904597,301964,324,82,DESY-HH_UCORE
3949288420,301780,257,79,DESY-HH_UCORE
3949288426,438232,1326,260,DESY-HH_UCORE
3949288427,401728,447,113,DESY-HH_UCORE
3949315057,453256,320,100,DESY-HH_UCORE
3949315081,449096,351,84,DESY-HH_UCORE
3949315092,275516,397,109,DESY-HH_UCORE
3949315097,349076,392,99,DESY-HH_UCORE
3949315102,447812,326,107,DESY-HH_UCORE
3949315120,302204,394,112,DESY-HH_UCORE
3949315131,313276,320,98,DESY-HH_UCORE
3949315135,450600,413,102,DESY-HH_UCORE
3949315141,448524,456,101,DESY-HH_UCORE
3949315143,445000,397,94,DESY-HH_UCORE
3949315144,278952,256,82,DESY-HH_UCORE
3949315154,425652,454,69,BNL_PROD
3949315163,425724,408,75,BNL_PROD
3949315169,331156,434,75,BNL_PROD
3949315177,400228,586,65,BNL_PROD
3949315181,272024,391,68,BNL_PROD
3949315192,263496,438,78,BNL_PROD
3949315193,402364,424,70,BNL_PROD
3949304958,279208,257,81,DESY-HH_UCORE
3949304962,301176,398,101,DESY-HH_UCORE
3949304984,449220,271,100,DESY-HH_UCORE
3949304985,407228,344,100,DESY-HH_UCORE
3949304989,301576,362,112,DESY-HH_UCORE
3949304990,302376,237,79,DESY-HH_UCORE
3949304994,446196,320,98,DESY-HH_UCORE
3949305004,305284,322,85,DESY-HH_UCORE
3949305005,309296,357,72,BNL_PROD
3949305035,241040,389,113,DESY-HH_UCORE
3949305037,297552,261,81,DESY-HH_UCORE
3949305043,302492,318,81,DESY-HH_UCORE
3949305044,300780,326,98,DESY-HH_UCORE
3949305048,248260,389,112,DESY-HH_UCORE
3949305058,279392,322,84,DESY-HH_UCORE
3949305062,452100,317,86,DESY-HH_UCORE
3949372601,262348,425,70,BNL_PROD
3949372605,426632,469,64,BNL_PROD
3949372615,305828,435,67,BNL_PROD
3949372616,409568,922,55,BNL_PROD
3949904583,295348,314,84,DESY-HH_UCORE
3949904590,360028,398,87,DESY-HH_UCORE
3949904591,452272,334,99,DESY-HH_UCORE
3949904595,301764,318,83,DESY-HH_UCORE
3949904600,292852,320,99,DESY-HH_UCORE
3949304943,302084,282,85,DESY-HH_UCORE
3949304954,449708,320,86,DESY-HH_UCORE
3949304961,295072,457,101,DESY-HH_UCORE
3949304969,301648,317,86,DESY-HH_UCORE
3949304970,298156,398,101,DESY-HH_UCORE
3949304976,352952,394,110,DESY-HH_UCORE
3949304982,357684,534,116,DESY-HH_UCORE
3949304999,296948,317,85,DESY-HH_UCORE
3949305007,278428,776,61,BNL_PROD
3949305011,266280,658,71,BNL_PROD
3949305014,277292,355,71,BNL_PROD
3949305015,437816,537,71,BNL_PROD
3949305031,274804,348,69,BNL_PROD
3949305041,420472,323,98,DESY-HH_UCORE
3949305045,414264,325,100,DESY-HH_UCORE
3949326276,302204,212,81,DESY-HH_UCORE
3949372602,269448,364,68,BNL_PROD
3949372604,274824,411,70,BNL_PROD
3949372607,389360,389,60,BNL_PROD
3949372608,304264,446,73,BNL_PROD
3949372609,432968,318,59,BNL_PROD
3949372618,405220,379,53,BNL_PROD
3949315054,463740,401,111,DESY-HH_UCORE
3949315064,332208,257,76,DESY-HH_UCORE
3949315084,476964,402,112,DESY-HH_UCORE
3949315094,303148,404,115,DESY-HH_UCORE
3949315095,356464,475,108,DESY-HH_UCORE
3949315110,322448,400,108,DESY-HH_UCORE
3949315123,450708,352,102,DESY-HH_UCORE
3949315128,310036,392,101,DESY-HH_UCORE
3949315132,302092,274,79,DESY-HH_UCORE
3949315133,301652,392,113,DESY-HH_UCORE
3949315137,448528,297,88,DESY-HH_UCORE
3949315145,407664,326,100,DESY-HH_UCORE
3949315146,403468,449,64,BNL_PROD
3949315155,313404,579,76,BNL_PROD
3949315160,277264,485,73,BNL_PROD
3949315165,379088,407,72,BNL_PROD
3949315166,286992,340,66,BNL_PROD
3949315168,306756,288,69,BNL_PROD
3949315171,411464,378,78,BNL_PROD
3949315172,399908,347,63,BNL_PROD
3949315174,428804,493,77,BNL_PROD
3949315186,424232,451,73,BNL_PROD
3949315187,427144,351,59,BNL_PROD
3949315188,371880,451,74,BNL_PROD
3949315191,284032,368,74,BNL_PROD
3949315194,394344,426,63,BNL_PROD
3949315195,465536,429,75,BNL_PROD
3949288419,302156,274,82,DESY-HH_UCORE
3949904592,415636,762,297,DESY-HH_UCORE
3949315071,450364,408,103,DESY-HH_UCORE
3949315078,327268,401,99,DESY-HH_UCORE
3949315089,512876,323,100,DESY-HH_UCORE
3949315098,359228,417,108,DESY-HH_UCORE
3949315122,304312,291,81,DESY-HH_UCORE
3949315130,299676,327,87,DESY-HH_UCORE
3949315150,269276,389,74,BNL_PROD
3949315153,395052,420,68,BNL_PROD
3949315161,313400,431,72,BNL_PROD
3949315162,401612,470,68,BNL_PROD
3949315170,272568,596,71,BNL_PROD
3949315185,304340,457,83,BNL_PROD
3949315189,265828,464,65,BNL_PROD
3949315196,406928,450,79,BNL_PROD
3949288422,302608,267,76,DESY-HH_UCORE
3949288423,306648,383,101,DESY-HH_UCORE
3949372603,407580,431,76,BNL_PROD
3949372611,397356,434,74,BNL_PROD
3949372612,306324,448,79,BNL_PROD
3949372613,266580,498,67,BNL_PROD
3949372614,307676,412,85,BNL_PROD
3949304949,444684,436,89,DESY-HH_UCORE
3949304959,443720,1854,557,DESY-HH_UCORE
3949304960,301684,260,77,DESY-HH_UCORE
3949304973,359288,557,89,DESY-HH_UCORE
3949304978,301732,519,113,DESY-HH_UCORE
3949304995,308792,263,79,DESY-HH_UCORE
3949305012,409384,411,68,BNL_PROD
3949305013,263396,410,64,BNL_PROD
3949305016,332568,476,55,BNL_PROD
3949305017,305784,449,67,BNL_PROD
3949305023,306048,384,66,BNL_PROD
3949305029,413416,380,61,BNL_PROD
3949305038,301812,265,80,DESY-HH_UCORE
3949305047,300996,262,82,DESY-HH_UCORE
3949305050,373696,384,100,DESY-HH_UCORE
3949305051,275836,254,80,DESY-HH_UCORE
3949305054,293644,324,81,DESY-HH_UCORE
3949305055,301560,259,81,DESY-HH_UCORE
3949305057,301384,398,85,DESY-HH_UCORE
3949618057,447720,274,112,DESY-HH_UCORE
3949904578,293400,229,79,DESY-HH_UCORE
3949904579,293524,303,83,DESY-HH_UCORE
3949904581,291596,296,100,DESY-HH_UCORE
3949904582,451680,309,85,DESY-HH_UCORE
3949904585,295276,249,73,DESY-HH_UCORE
3949904588,275928,330,98,DESY-HH_UCORE
3949904589,292204,349,97,DESY-HH_UCORE
3949372599,417420,711,73,BNL_PROD
3949372606,406224,377,76,BNL_PROD
3949304945,301708,287,84,DESY-HH_UCORE
3949304947,453760,300,99,DESY-HH_UCORE
3949304950,302952,312,83,DESY-HH_UCORE
3949304952,393904,447,102,DESY-HH_UCORE
3949304953,434396,387,100,DESY-HH_UCORE
3949304957,301076,257,81,DESY-HH_UCORE
3949304964,303196,325,82,DESY-HH_UCORE
3949304965,296088,318,99,DESY-HH_UCORE
3949304967,296908,259,76,DESY-HH_UCORE
3949304971,301356,321,85,DESY-HH_UCORE
3949304972,277412,317,84,DESY-HH_UCORE
3949304979,418444,535,87,DESY-HH_UCORE
3949304983,297380,318,85,DESY-HH_UCORE
3949304986,281792,355,97,DESY-HH_UCORE
3949304991,397336,450,98,DESY-HH_UCORE
3949304997,441212,252,66,DESY-HH_UCORE
3949304998,308908,261,77,DESY-HH_UCORE
3949305002,356976,326,81,DESY-HH_UCORE
3949305006,395984,411,66,BNL_PROD
3949305022,286212,452,85,BNL_PROD
3949315061,301180,500,112,DESY-HH_UCORE
3949315068,473992,338,100,DESY-HH_UCORE
3949315074,301172,395,84,DESY-HH_UCORE
3949315113,430464,385,112,DESY-HH_UCORE
3949315119,302996,317,81,DESY-HH_UCORE
3949315124,301688,280,80,DESY-HH_UCORE
3949315126,444700,523,103,DESY-HH_UCORE
3949315127,250608,320,98,DESY-HH_UCORE
3949315134,285224,266,82,DESY-HH_UCORE
3949315140,451628,386,99,DESY-HH_UCORE
3949315147,422100,388,50,BNL_PROD
3949315151,345140,422,75,BNL_PROD
3949315156,267760,455,70,BNL_PROD
3949315159,305372,368,81,BNL_PROD
3949315164,335360,527,61,BNL_PROD
3949315167,310764,302,71,BNL_PROD
3949315173,303372,443,80,BNL_PROD
3949315175,429084,461,73,BNL_PROD
3949315176,276876,414,73,BNL_PROD
3949315179,85768,343,64,BNL_PROD
3949315180,269284,289,65,BNL_PROD
3949315190,307168,487,76,BNL_PROD
3949315197,274864,390,69,BNL_PROD
3949305025,267104,516,77,BNL_PROD
3949305027,262728,446,78,BNL_PROD
3949305028,281652,491,81,BNL_PROD
3949305033,423860,469,73,BNL_PROD
3949305034,284624,357,67,BNL_PROD
3949305036,364732,260,66,DESY-HH_UCORE
3949305042,302396,319,83,DESY-HH_UCORE
3949305052,286348,384,108,DESY-HH_UCORE
3949305063,301980,213,82,DESY-HH_UCORE
3949305064,345528,275,85,DESY-HH_UCORE
3949288424,357348,495,101,DESY-HH_UCORE
3949288425,305228,383,110,DESY-HH_UCORE
3949288428,374776,519,116,DESY-HH_UCORE
3949904580,290116,291,81,DESY-HH_UCORE
3949904584,363592,398,101,DESY-HH_UCORE
3949904601,435932,351,84,DESY-HH_UCORE
